epoch,train_loss,train_acc,test_loss,test_acc
1,1.6097857587518187,0.8337969401947148,0.8263979559345912,0.83008356545961
2,0.5259959118169654,0.913769123783032,0.3609052136773502,0.9220055710306406
3,0.2653883327224116,0.9603616133518776,0.22804683753695235,0.947075208913649
4,0.15873795094207468,0.978442280945758,0.18050228726198084,0.9610027855153204
5,0.10844760321916481,0.9867872044506258,0.1603187779637605,0.9554317548746518
6,0.07560221143740556,0.9937413073713491,0.13269083041705412,0.9693593314763231
7,0.05581721782477611,0.9958275382475661,0.12712899793349847,0.9637883008356546
8,0.04338628458262574,0.9965229485396384,0.11759672417192499,0.9693593314763231
9,0.03203365925985488,0.9986091794158554,0.1111123020974479,0.9665738161559888
10,0.025369826980736997,0.9986091794158554,0.10604356254386171,0.9665738161559888
11,0.020099181395027973,0.9993045897079277,0.10060948322427299,0.9665738161559888
12,0.016656713453467337,0.9993045897079277,0.09520470594159046,0.9693593314763231
13,0.014085933035116254,1.0,0.09211141381611995,0.9665738161559888
14,0.011464569271267256,1.0,0.09019705458852836,0.9693593314763231
15,0.00979228242237297,1.0,0.09099590715933449,0.9693593314763231
16,0.008522752805389527,1.0,0.08803093191747577,0.9693593314763231
17,0.00726620667923238,1.0,0.08538120306563314,0.9693593314763231
18,0.006421115336577059,1.0,0.08461580300000934,0.9721448467966574
19,0.005619306659250802,1.0,0.08461804594747588,0.9693593314763231
20,0.004969500745907602,1.0,0.08421131646879568,0.9693593314763231
21,0.004483076360684586,1.0,0.08354952840150565,0.9749303621169917
22,0.0039818562215736914,1.0,0.0852833888596715,0.9721448467966574
23,0.0036182765428137828,1.0,0.0841114455294222,0.9777158774373259
24,0.003308438239077863,1.0,0.08344623371362767,0.9777158774373259
25,0.0029933017966637093,1.0,0.08254662007917393,0.9777158774373259
26,0.0027756244281962245,1.0,0.08310795687809837,0.9777158774373259
27,0.0025200904547621104,1.0,0.08062917753732915,0.9777158774373259
28,0.0023103765939718832,1.0,0.08030940895145483,0.9777158774373259
29,0.002128007420617149,1.0,0.08052133308353646,0.9777158774373259
30,0.0019763351097749396,1.0,0.0806153719524563,0.9777158774373259
31,0.0018399599055648037,1.0,0.08050321755472162,0.9777158774373259
32,0.0017206492346593977,1.0,0.0808811753433507,0.9777158774373259
33,0.001591192821725362,1.0,0.08025998179535851,0.9777158774373259
34,0.0014739690492206843,1.0,0.08051283488312512,0.9777158774373259
35,0.0013862757273091105,1.0,0.07999191392894041,0.9805013927576601
36,0.0012987917204069035,1.0,0.07977956998902813,0.9805013927576601
37,0.0012232008040260933,1.0,0.08044432859292745,0.9777158774373259
38,0.0011523619872855389,1.0,0.08142600247606853,0.9749303621169917
39,0.0010721358908627541,1.0,0.0809997566226453,0.9749303621169917
40,0.0010081540883706368,1.0,0.08068057721553816,0.9749303621169917
