criterion,target_sparsity,seed,achieved_sparsity,test_acc
saliency,0.0,0,0.0,0.9749303621169917
saliency,0.0,1,0.0,0.9665738161559888
saliency,0.0,2,0.0,0.9610027855153204
saliency,0.0,3,0.0,0.9749303621169917
saliency,0.0,4,0.0,0.9749303621169917
saliency,0.5,0,0.5,0.9805013927576601
saliency,0.5,1,0.5,0.9721448467966574
saliency,0.5,2,0.5,0.9637883008356546
saliency,0.5,3,0.5,0.9832869080779945
saliency,0.5,4,0.5,0.9805013927576601
saliency,0.75,0,0.75,0.9777158774373259
saliency,0.75,1,0.75,0.9721448467966574
saliency,0.75,2,0.75,0.9610027855153204
saliency,0.75,3,0.75,0.9805013927576601
saliency,0.75,4,0.75,0.9805013927576601
saliency,0.9,0,0.9000234962406015,0.9832869080779945
saliency,0.9,1,0.9000234962406015,0.9665738161559888
saliency,0.9,2,0.9000234962406015,0.9554317548746518
saliency,0.9,3,0.9000234962406015,0.9777158774373259
saliency,0.9,4,0.9000234962406015,0.9749303621169917
saliency,0.95,0,0.9500117481203008,0.9749303621169917
saliency,0.95,1,0.9500117481203008,0.9665738161559888
saliency,0.95,2,0.9500117481203008,0.9554317548746518
saliency,0.95,3,0.9500117481203008,0.9777158774373259
saliency,0.95,4,0.9500117481203008,0.9721448467966574
saliency,0.98,0,0.9799694548872181,0.9610027855153204
saliency,0.98,1,0.9799694548872181,0.9554317548746518
saliency,0.98,2,0.9799694548872181,0.9220055710306406
saliency,0.98,3,0.9799694548872181,0.9442896935933147
saliency,0.98,4,0.9799694548872181,0.9721448467966574
magnitude,0.0,0,0.0,0.9749303621169917
magnitude,0.0,1,0.0,0.9665738161559888
magnitude,0.0,2,0.0,0.9610027855153204
magnitude,0.0,3,0.0,0.9749303621169917
magnitude,0.0,4,0.0,0.9749303621169917
magnitude,0.5,0,0.5,0.9832869080779945
magnitude,0.5,1,0.5,0.9693593314763231
magnitude,0.5,2,0.5,0.9637883008356546
magnitude,0.5,3,0.5,0.9777158774373259
magnitude,0.5,4,0.5,0.9777158774373259
magnitude,0.75,0,0.75,0.9777158774373259
magnitude,0.75,1,0.75,0.9637883008356546
magnitude,0.75,2,0.75,0.9637883008356546
magnitude,0.75,3,0.75,0.9749303621169917
magnitude,0.75,4,0.75,0.9805013927576601
magnitude,0.9,0,0.9000234962406015,0.9777158774373259
magnitude,0.9,1,0.9000234962406015,0.958217270194986
magnitude,0.9,2,0.9000234962406015,0.9637883008356546
magnitude,0.9,3,0.9000234962406015,0.9805013927576601
magnitude,0.9,4,0.9000234962406015,0.9805013927576601
magnitude,0.95,0,0.9500117481203008,0.9721448467966574
magnitude,0.95,1,0.9500117481203008,0.9610027855153204
magnitude,0.95,2,0.9500117481203008,0.9610027855153204
magnitude,0.95,3,0.9500117481203008,0.9721448467966574
magnitude,0.95,4,0.9500117481203008,0.9721448467966574
magnitude,0.98,0,0.9799694548872181,0.947075208913649
magnitude,0.98,1,0.9799694548872181,0.9526462395543176
magnitude,0.98,2,0.9799694548872181,0.947075208913649
magnitude,0.98,3,0.9799694548872181,0.9387186629526463
magnitude,0.98,4,0.9799694548872181,0.947075208913649
